term,frequency
not_respond,12355
know,8853
bad,4981
another,3558
afternoon,3540
related,3181
horrible,2529
terrible,2489
no_longer,2386
not,2265
no_reply,1937
none,1765
long,1517
never_been,1341
nothing,1330
not_be,1273
rude,1112
late,1051
diagnosis,1019
not_recognize,938
not_the,880
later,856
note,685
violates,661
not_a,630
technology,611
notice,585
delay,584
not_to,581
not_have,573
notify,514
no_one,514
normal,511
bruno,490
moreno,479
notification,438
not_possible,438
worst,424
not_meet,405
disappointed,391
knowledge,382
not_recommended,357
whenever,352
not_receive,324
not_even,324
unlawful,323
poor,320
unprofessional,319
do_not_recommend,313
relates,290
not_permitted,286
ignore,283
not_wish,282
not_been,281
enough,276
no_empathy,273
expensive,271
montesinos,268
not_requested,267
not_reply,259
not_only,254
diagnosed,241
disappointing,240
nose,236
non,233
ignored,230
noticed,224
longer,222
violated,212
no_start,208
merino,205
not_in,204
never_again,203
badly,196
knowing,188
nogueira,185
not_yet,183
not_at,180
poorly,180
not_want,176
latest,174
not_do,171
not_going,168
notified,167
never_forget,165
not_accept,160
annoyed,152
not_received,151
not_take,148
known,147
anonymized,146
not_recommend,146
disappointment,145
not_show,145
never_experienced,144
nova,142
not_accepted,141
no_way,136
not_attended,133
luciano,132
serrano,131
no_response,130
not_scheduled,128
not_very,127
not_attend,127
november,126
not_comply,125
not_being,124
endocrinologist,122
not_give,121
vilanova,121
no_appointment,118
no_interest,118
rudely,117
along,117
not_address,117
no_idea,117
not_provide,117
never_go,116
delayed,115
not_true,113
not_booked,113
not_allowed,112
not_you,112
no_time,111
not_appear,109
noted,109
bueno,108
annoying,108
noscript,108
not_complies,108
not_available,107
no_service,107
anonymous,107
not_about,104
never_had,102
not_for,102
not_know,101
nossa,100
noreply,99
not_taken,99
nevertheless,99
pino,98
noelia,96
no_i,96
unknown,96
not_answered,95
announced,94
not_work,94
not_interested,92
not_i,92
never_seen,91
diagnostics,89
no_more,89
no_problem,89
not_just,88
not_an,86
not_seen,85
no_consultation,83
innovation,83
caetano,83
not_use,82
endocrinology,77
not_return,77
not_make,77
not_my,77
nobody,77
north,76
not_receiving,76
diagnostic,76
not_refer,76
not_allow,75
economic,75
no_reason,74
not_go,73
norte,73
normally,73
innovative,72
colonoscopy,72
no_treatment,71
not_there,71
not_good,70
adriano,70
not_agree,70
whatever,69
not_informed,69
cano,68
no_point,67
not_like,66
not_send,64
ignorance,63
not_necessary,63
not_able,62
no_other,62
not_directed,62
no_matter,61
fnodol,61
not_come,59
not_on,59
martino,59
not_having,59
not_responsible,58
nonsense,57
noemi,57
no_further,57
not_see,57
not_anymore,57
not_treated,57
not_aware,57
not_necessarily,56
not_carried,56
otorhinolaryngology,56
not_what,56
not_given,55
honor,55
not_based,54
no_to,54
violate,53
not_answer,53
toscano,53
lozano,53
not_correct,53
not_happen,53
noon,52
not_assume,52
no_need,52
not_clear,51
manoel,51
noticeable,50
dirty,50
not_made,50
misdiagnosis,50
badajoz,49
nycnocuxg,49
soriano,49
no_respond,49
not_violate,48
never_happened,48
not_cover,48
not_authorized,48
not_click,47
not_satisfied,47
not_exist,47
no_information,47
romano,47
not_working,46
not_enough,46
never_recommend,46
ruano,45
not_as,45
not_because,44
not_understand,44
rudeness,44
urbano,44
not_satisfactory,43
no_explanation,43
mariano,43
no_recommendation,43
no_doctor,43
not_done,43
not_pay,43
gimeno,43
not_seem,42
not_contain,42
not_that,41
not_correspond,41
not_explain,41
not_arrive,41
hanover,41
never_have,41
no_contains,41
announcement,41
inmunomet,41
minor,40
not_covered,40
not_feel,39
belongs,39
adnor,39
not_get,39
no_score,39
never_be,39
no_show,38
not_hesitate,38
noor,38
pulmonologist,38
camino,37
flauzino,37
contorno,37
clementino,37
not_with,37
not_read,37
no_effect,37
not_need,37
not_empathetic,37
no_go,36
never_return,36
nov,36
not_all,36
not_schedule,36
not_visible,36
technological,35
novaes,35
not_inform,35
not_sure,35
breno,34
donostia,34
not_consent,34
diagnose,33
not_sent,33
floriano,33
no_help,33
not_had,33
isolated,33
guarino,33
no_respect,33
no_understanding,32
not_open,32
nodule,32
celestino,32
quirino,31
not_published,31
nostril,31
not_alone,31
not_perform,31
not_present,31
not_from,31
no_patient,31
hated,31
calculated,31
not_actual,31
never_felt,31
wiesbaden,31
noronha,30
no_responsibility,30
not_well,30
no_patience,30
no_de,30
not_if,30
autonomous,30
no_contact,30
notre,30
not_match,30
not_carry,30
aquino,29
iriano,29
no_sense,29
espinosa,29
regulated,29
no_use,29
hypnosis,29
not_identified,28
ignores,28
cassiano,28
never_received,28
not_fit,28
not_treat,28
not_registered,28
not_addressed,28
belong,28
no_have,28
enormous,28
cristiano,28
hate,28
not_support,28
renowned,27
not_suitable,27
not_ask,27
anonymously,27
no_basis,27
not_publish,27
not_let,27
novais,27
demeanor,27
relate,27
fabiano,27
marino,27
not_provided,27
no_answer,27
alongside,27
no_improvement,27
not_explained,26
not_ensure,26
norm,26
node,26
no_later,26
anonymity,26
no_new,26
sabadell,26
not_displayed,26
not_me,26
not_listen,26
not_communicate,26
not_charge,26
menopause,25
formulate,25
solano,25
no_means,25
not_copy,25
not_report,25
not_getting,25
prudencio,25
no_such,25
not_one,25
juliano,24
not_willing,24
no_place,24
no_problems,24
not_really,24
not_online,24
no_appointments,24
nord,24
no_it,24
onofrio,24
norio,23
scapulatempo,23
not_his,23
not_so,23
ignoring,23
not_find,23
not_always,23
not_found,23
template,23
nowhere,23
not_successful,23
moyano,23
lenovo,23
not_help,23
brunno,22
severino,22
ignorant,22
manipulated,22
novo,22
no_evidence,22
formulated,22
unlawfully,22
not_fulfilled,22
not_kept,22
not_taking,22
not_effective,22
immunologist,22
leonor,22
nowak,22
not_protected,22
not_right,22
casanova,22
no_solution,22
not_solve,22
plano,21
not_guarantee,21
not_examine,21
not_cancel,21
no_communication,21
notifying,21
sendino,21
cifnohrbjvt,21
not_by,21
not_how,21
not_examined,21
not_request,21
not_heard,21
not_occur,21
not_accepting,21
no_real,21
badia,21
not_prepared,21
annoyance,20
not_they,20
no_mention,20
nowadays,20
pilate,20
acknowledge,20
not_it,20
minoxidil,20
no_setor,20
not_visit,20
chirino,20
abnormal,20
not_feeling,20
divino,20
not_ready,20
not_professional,20
manipulate,20
not_her,20
not_happy,19
no_was,19
announce,19
not_mentioned,19
paulino,19
notredame,19
not_worth,19
no_commitment,19
teknon,19
lately,19
baden,19
never_see,19
not_particularly,19
