Touchpoint,Stakeholder,Possible Causes,Reasons,Possible Process Issues,Symptoms,Effect of Symptom
Search and Evaluate Professional Score,DocPlanner,Inadequate or outdated professional scores,Outdated data,Delayed updates of professional information leading to incorrect decisions.,"Patient finds outdated or incorrect information during search, leading to distrust.",Patient loses trust in the platform and may seek alternatives.
Search and Evaluate Professional Score,DocPlanner,Inconsistent or missing reviews,Insufficient reviews,Lack of comprehensive reviews affects patient trust.,"Patient notices lack of detailed reviews, making it hard to evaluate professionals.",Patient is hesitant to book an appointment due to lack of trust.
Search and Evaluate Professional Score,DocPlanner,Difficult search interface,Poor user interface design,Difficulty in finding suitable professionals reduces platform effectiveness.,"Patient struggles to navigate the search interface, leading to frustration.",Patient becomes frustrated and may leave the platform without booking.
Schedule Appointment,"DocPlanner, InternalSystem, Doctor",Complex or non-intuitive appointment interface,System integration problems,Complicated scheduling process may result in abandoned appointments.,Patient finds it difficult to complete the appointment process and may give up.,"Patient abandons the booking process, reducing appointment rates."
Schedule Appointment,"DocPlanner, InternalSystem, Doctor",Synchronization issues between system and doctor,Lack of training,Synchronization failures could lead to double bookings or missed appointments.,Patient experiences confusion or misses appointments due to scheduling issues.,"Patient misses appointments or faces scheduling conflicts, reducing satisfaction."
Schedule Appointment,"DocPlanner, InternalSystem, Doctor",Limited appointment availability,Interface design flaws,"Limited slots can cause long wait times, reducing patient satisfaction.","Patient waits too long for available slots, leading to dissatisfaction.",Patient dissatisfaction increases due to long wait times and limited availability.
Make Payment Online,"DocPlanner, InternalSystem",Payment gateway failures,Technical issues with payment systems,Payment failures can cause loss of business and patient dissatisfaction.,"Patient faces issues completing payment, possibly abandoning the service.","Patient may abandon the service, leading to loss of revenue."
Make Payment Online,"DocPlanner, InternalSystem",Lack of multiple payment options,Unclear process,Limited options may discourage patients from using the platform.,Patient may feel limited by the lack of payment options and choose another service.,Patient opts for another service that offers better payment options.
Make Payment Online,"DocPlanner, InternalSystem",Confusing payment instructions,Limited options,Confusion in payment process can increase support calls and reduce satisfaction.,"Patient feels confused about how to proceed with payment, increasing frustration.","Patient frustration increases, leading to negative perceptions of the service."
Make Payment at Reception,"Reception, InternalSystem",Long wait times at reception,Manual process inefficiencies,Long queues increase patient frustration and reduce satisfaction.,"Patient experiences long waits at reception, leading to negative first impressions.","Patient feels frustrated and undervalued, leading to a poor experience."
Make Payment at Reception,"Reception, InternalSystem",Inefficient payment processing,Outdated systems,Inefficient processing may cause delays in consultation start times.,"Patient is delayed in starting the consultation, reducing satisfaction.","Patient dissatisfaction grows, potentially leading to negative reviews."
Make Payment at Reception,"Reception, InternalSystem",Limited payment methods accepted,Poor queue management,Lack of payment options may turn away patients.,"Patient is unable to pay using preferred methods, leading to inconvenience.","Patient may be unable to complete payment, resulting in lost consultations."
Check-in Online,"DocPlanner, InternalSystem",Technical issues with online check-in,Platform bugs,Technical check-in issues can delay the start of consultations.,"Patient is unable to check in smoothly, causing anxiety about missing the appointment.","Patient experiences anxiety, reducing overall satisfaction with the service."
Check-in Online,"DocPlanner, InternalSystem",Lack of real-time updates,Lack of notifications,Delayed updates may cause patients to miss their appointment time.,"Patient is unaware of appointment status, leading to missed consultations.","Patient misses the consultation, leading to potential health risks."
Check-in Online,"DocPlanner, InternalSystem",No reminders or notifications,Poor real-time data integration,Lack of reminders increases no-show rates.,Patient misses their appointment due to lack of reminders.,"Patient does not attend the appointment, affecting overall health outcomes."
Check-in at Reception,"Reception, InternalSystem",Long wait times at reception,Reception staff training gaps,Long queues at reception can disrupt clinic operations.,"Patient waits too long at reception, feeling neglected.","Patient feels neglected and undervalued, reducing trust in the service."
Check-in at Reception,"Reception, InternalSystem",Poor communication on process,System integration issues,Poor communication may cause patients to feel neglected.,"Patient does not understand the process, leading to dissatisfaction.",Patient confusion leads to a negative perception of the service.
Check-in at Reception,"Reception, InternalSystem",Manual errors in check-in,Manual errors,Manual errors can lead to incorrect patient information being recorded.,"Patient sees errors in their information, losing confidence in the service.",Patient loses confidence in the platform's accuracy and reliability.
Check-in at Reception,"Reception, Patient",Receptionist's lack of attentiveness or rudeness,Receptionist is overwhelmed or poorly trained in customer service,"Patient feels unwelcome or disrespected, leading to a negative experience",Patient feels stressed or frustrated at the start of their visit,Patient may leave a negative review or decide not to return to the clinic
Check-in at Reception,"Reception, Patient",Confusion due to unclear or inconsistent instructions from reception staff,Staff not trained to provide clear and consistent information,"Patient is confused about the check-in process, causing delays",Patient experiences delays or misses their appointment due to confusion,"Patient's stress increases, negatively affecting their overall experience and perception of the clinic"
